Name_of_coal,Coal Category,Cost
Caval Ridge,HCC,47847.71133
Goonyella,HCC,47847.71133
Illawara (PHCC),HCC,47847.71133
Moranbah North,HCC,47847.71133
PDN,HCC,47847.71133
Riverside,HCC,47847.71133
North Goonyella,HCC,47847.71133
Blue creek,HFCC,41741.44474
Elga,HFCC,41741.44474
Leer,HFCC,41741.44474
Mt. Laurel,HFCC,41741.44474
Leer/Russian HFCC,HFCC,41741.44474
Uvalnaya,HFCC,41741.44474
R.PCI,PCI,35352.66421
Aus. SHCC,SHCC,46815.67557
Daunia (SHCC),SHCC,46815.67557
Eagle crrek,SHCC,46815.67557
Lake Vermont,SHCC,46815.67557
Metropolitan,SHCC,46815.67557
Olive Down,SHCC,46815.67557
Poitrel,SHCC,46815.67557
Teck Venture,SHCC,46815.67557
Amonate,SHCC,46815.67557
Indonasian,SHCC,46815.67557
Low Ash SHCC/ SHCC-BHP,SHCC,46815.67557
Dhamra SHCC PDN,SHCC,46815.67557
Anglo American LV SHCC,SHCC,46815.67557
Carborough down (SHCC),SHCC,46815.67557
Moorvale (SHCC),SHCC,46815.67557
Russian Low Vol(SHCC),SHCC,46815.67557
MVF,SHCC,46815.67557
Soft coal,SHCC,46815.67557
Scratch Coal,WC,26751.80111
E.Soft,WC,26751.80111
Indian Coal Dhanbaad,WC,26751.80111
HCC/ SHCC Contaminated Coal,WC,26751.80111
